id,a1_r12,a1_r13,a1_r14,a1_r15,a1_r16
2358,31,50,20,82,77
2359,49,52,83,8,28
2360,67,35,87,1,65
2361,69,11,75,58,94
2362,101,78,50,48,20
2363,97,48,7,78,30
2364,74,94,61,4,27
2365,83,22,14,42,69
2366,99,73,66,7,13
2367,67,81,52,77,80
2368,22,75,9,67,70
2369,12,98,60,39,34
2370,89,31,23,82,63
2371,14,1,99,44,99
2372,75,101,47,67,71
2373,15,100,11,90,58
2374,5,59,82,87,21
2375,54,29,95,3,46
2376,74,96,100,73,95
2377,81,35,12,68,18
2378,43,72,20,74,57
2379,68,88,82,2,5
2380,68,51,20,10,90
2381,84,34,54,76,2
2382,49,38,32,75,64
2383,95,85,20,51,36
2384,34,89,16,0,19
2385,50,35,62,35,20
2386,60,82,79,33,84
2387,38,1,95,69,37
2388,48,54,14,76,93
2389,91,45,52,36,99
2390,59,70,61,32,72
2391,38,60,92,39,57
2392,20,71,63,63,91
2393,71,10,29,79,51
2394,76,81,58,78,65
2395,21,41,64,30,78
2396,70,23,99,68,64
2397,11,49,93,12,26
2398,24,6,42,3,10
2399,12,56,75,14,78
2400,41,39,69,7,15
2401,101,10,100,79,27
2402,15,87,97,37,44
2403,55,13,41,60,30
2404,100,35,94,95,29
2405,31,23,17,78,36
2406,66,70,43,1,48
2407,19,31,62,55,91
2408,34,50,33,20,78
2409,54,65,59,62,49
2410,36,46,53,37,69
2411,85,32,43,74,83
2412,47,24,58,9,74
2413,98,69,81,62,19
2414,80,80,98,56,80
2415,77,47,31,60,14
2416,28,30,3,46,17
2417,55,48,70,30,76
2418,74,38,68,43,43
2419,20,47,37,59,34
2420,63,17,89,17,22
2421,12,0,9,45,35
2422,42,3,12,35,61
2423,23,16,11,16,27
2424,33,56,95,48,54
2425,74,58,34,53,9
2426,45,0,84,24,41
2427,22,91,62,25,80
2428,41,33,22,63,99
2429,24,13,11,30,34
2430,45,11,1,88,54
2431,77,71,11,15,56
2432,55,47,44,82,81
2433,97,71,85,39,63
2434,84,66,87,95,71
2435,101,39,58,70,51
2436,87,101,27,49,48
2437,42,53,77,41,38
2438,49,75,97,75,2
2439,2,38,2,49,16
2440,66,58,67,9,78
2441,93,80,66,60,95
2442,84,80,97,61,50
2443,35,34,42,75,61
2444,19,59,38,53,14
2445,21,79,88,76,14
2446,64,48,46,36,91
2447,67,69,77,88,46
2448,57,10,56,48,92
2449,60,43,39,97,77
2450,26,68,99,18,82
2451,65,71,20,63,72
2452,60,28,85,14,90
2453,100,13,39,71,2
2454,58,30,44,21,72
2455,58,16,19,59,39
2456,45,74,24,98,74
2457,90,70,92,71,22
2458,5,33,23,24,55
2459,72,95,78,96,75
2460,20,91,81,2,6
2461,13,37,46,97,83
2462,101,43,13,52,68
2463,44,12,3,52,98
2464,98,72,30,54,46
2465,70,30,77,21,45
2466,12,84,21,28,65
2467,21,42,52,53,89
2468,59,47,46,1,80
2469,79,37,20,32,73
2470,88,23,69,27,77
2471,10,19,95,19,81
2472,6,12,19,95,6
2473,100,87,13,24,60
2474,98,9,56,79,39
2475,98,48,23,61,87
2476,100,27,73,23,30
2477,81,64,81,40,43
2478,55,1,38,28,95
2479,69,59,56,27,65
2480,59,71,75,51,19
2481,63,72,72,44,44
2482,65,57,68,0,25
2483,32,96,33,64,2
2484,74,64,2,27,96
2485,46,48,14,12,68
2486,97,29,95,63,58
2487,65,45,80,26,6
2488,7,97,47,59,51
2489,38,44,86,21,88
2490,64,10,12,79,44
2491,55,85,6,54,27
2492,81,80,32,69,80
2493,64,27,23,100,41
2494,17,79,80,27,75
2495,28,5,27,68,81
2496,77,33,25,62,9
2497,29,33,59,29,15
2498,31,10,30,97,99
2499,33,65,87,62,57
2500,74,29,6,63,15
2501,3,82,57,5,24
2502,92,33,18,11,56
2503,91,18,69,63,56
2504,97,9,32,27,3
2505,79,46,13,45,6
2506,40,95,74,44,47
2507,75,48,14,72,4
2508,5,66,49,85,81
2509,99,77,26,13,23
2510,41,26,11,91,77
2511,87,58,94,30,75
2512,72,12,76,57,31
2513,24,74,67,9,12
2514,42,4,98,19,69
2515,3,92,33,49,40
2516,48,83,73,57,100
2517,27,51,49,38,58
2518,49,41,73,28,57
2519,88,28,80,101,26
2520,39,49,7,96,41
2521,74,18,81,19,7
2522,49,42,18,49,69
2523,2,89,36,62,32
2524,1,89,69,23,89
2525,51,60,82,45,96
2526,2,10,88,70,81
2527,18,41,1,78,78
2528,8,1,70,84,92
2529,93,17,93,19,3
2530,93,82,78,36,77
2531,75,17,1,97,28
2532,101,97,2,3,35
2533,29,47,39,36,85
2534,8,35,64,16,10
2535,99,18,97,88,98
2536,80,2,81,20,6
2537,64,24,26,3,3
2538,16,80,93,70,23
2539,6,75,79,77,20
2540,6,10,29,47,27
2541,35,101,73,58,59
2542,75,92,100,40,13
2543,37,4,77,67,5
2544,32,9,47,62,4
2545,12,81,73,60,51
2546,41,18,46,91,62
2547,50,35,71,48,29
2548,20,74,52,35,100
2549,83,14,43,35,73
2550,66,20,26,52,30
2551,81,57,75,63,18
2552,65,58,79,38,22
2553,63,70,91,34,37
2554,16,50,95,85,79
2555,1,20,46,82,50
2556,87,14,57,92,4
2557,13,97,18,48,92
2558,74,9,77,84,6
2559,48,69,54,61,0
2560,16,40,64,29,39
2561,74,33,80,85,21
2562,28,20,71,35,30
2563,98,21,46,96,3
2564,83,21,56,13,50
2565,99,37,25,57,73
2566,46,79,9,54,41
2567,47,60,3,46,50
2568,86,31,82,92,37
2569,5,90,95,46,92
2570,79,53,94,17,57
2571,4,25,33,85,54
2572,86,85,73,49,25
2573,88,69,74,63,36
2574,47,28,50,2,3
2575,76,88,39,16,2
2576,93,81,20,3,90
2577,3,37,6,39,69
2578,79,4,62,37,0
2579,57,11,17,26,97
2580,77,97,23,24,57
2581,67,99,78,77,5
2582,46,79,66,97,36
2583,35,10,4,98,5
2584,8,95,57,78,26
2585,25,49,56,75,95
2586,97,53,97,12,24
2587,68,1,42,80,85
2588,101,65,75,51,77
2589,12,23,3,96,80
2590,41,86,93,17,85
2591,98,14,33,13,27
2592,60,11,5,61,55
2593,68,83,35,80,35
2594,73,57,8,76,12
2595,22,51,15,71,81
2596,3,75,32,60,0
2597,88,56,5,36,89
2598,4,28,76,49,98
2599,46,47,43,2,50
2600,69,26,60,96,41
2601,14,68,47,0,42
2602,17,83,19,65,36
2603,90,15,43,71,1
2604,22,86,73,36,22
2605,53,32,88,1,42
2606,19,100,91,19,44
2607,73,17,92,57,32
2608,4,34,55,30,86
2609,27,8,23,34,78
2610,95,63,20,1,40
2611,21,82,55,56,2
2612,54,89,56,32,31
2613,39,67,32,3,72
2614,76,23,84,59,71
2615,11,5,73,47,55
2616,101,70,44,43,80
2617,48,48,18,2,97
2618,8,66,14,64,91
2619,92,76,60,27,82
2620,94,31,36,71,15
2621,72,52,95,27,66
2622,5,66,23,12,34
2623,70,68,61,79,4
2624,7,87,95,5,58
2625,60,89,89,1,65
2626,38,8,29,30,96
2627,30,12,22,89,61
2628,50,41,39,100,74
2629,9,44,19,5,92
2630,65,51,61,55,78
2631,44,99,56,75,4
2632,93,26,22,74,38
2633,50,80,28,35,1
2634,52,51,2,42,64
2635,59,73,7,101,69
2636,27,62,62,14,49
2637,15,51,69,24,41
2638,9,59,32,43,32
2639,98,4,81,13,38
2640,67,54,70,12,75
2641,61,66,37,59,35
2642,55,26,89,21,53
2643,28,42,88,38,14
2644,47,87,76,5,88
2645,76,82,21,23,79
2646,63,24,45,3,21
2647,34,99,13,65,84
2648,99,15,67,86,2
2649,99,16,72,94,63
2650,5,84,73,37,15
2651,45,85,11,47,83
2652,41,81,62,43,70
2653,72,17,89,90,20
2654,21,52,36,84,58
2655,87,92,33,89,95
2656,80,43,42,3,71
2657,63,41,62,35,76
2658,67,26,98,44,61
2659,98,56,26,96,52
2660,44,14,32,62,98
2661,56,31,5,96,11
2662,39,66,38,15,38
2663,16,77,2,53,79
2664,35,72,25,57,74
2665,58,86,36,12,97
2666,62,13,86,52,17
2667,53,83,64,62,23
2668,72,72,82,34,95
2669,64,34,4,45,22
2670,13,31,92,68,94
2671,40,75,99,61,30
2672,54,19,25,80,78
2673,92,82,48,81,97
2674,55,15,99,58,36
2675,77,79,69,94,98
2676,32,82,57,63,36
2677,80,12,70,93,89
2678,28,16,87,100,82
2679,78,71,74,38,34
2680,40,69,26,101,82
2681,35,72,14,67,79
2682,6,82,95,0,10
2683,66,66,35,100,6
2684,39,43,90,94,1
2685,65,64,51,59,22
2686,69,28,5,78,68
2687,71,78,46,70,69
2688,31,66,82,55,50
2689,49,30,71,75,5
2690,57,42,8,29,5
2691,47,88,74,58,31
2692,40,32,23,65,82
2693,31,18,96,10,85
2694,6,68,100,9,61
2695,42,65,39,33,55
2696,65,90,10,43,89
2697,40,10,44,46,47
2698,94,92,59,60,46
2699,36,2,41,66,43
2700,20,19,22,56,39
2701,62,31,32,63,24
2702,5,44,7,30,50
2703,65,48,89,56,97
2704,51,83,77,67,3
2705,92,18,84,79,78
2706,24,74,44,25,98
2707,79,82,62,59,12
2708,59,33,10,57,16
2709,10,11,14,46,78
2710,82,7,74,20,98
2711,22,57,14,29,52
2712,7,42,50,1,28
2713,69,35,26,100,8
2714,44,91,97,92,14
2715,15,14,88,53,77
2716,19,89,61,96,67
2717,23,98,11,56,71
2718,54,82,63,35,66
2719,46,62,6,51,100
2720,57,71,29,28,84
2721,30,81,54,2,82
2722,30,43,89,97,78
2723,41,65,19,23,21
2724,64,61,39,66,15
2725,44,29,4,14,64
2726,28,46,2,65,79
2727,11,88,64,31,22
2728,48,84,16,85,27
2729,39,79,10,43,35
2730,39,54,31,93,66
2731,7,16,48,65,39
2732,65,55,64,40,86
2733,84,22,56,94,10
2734,75,85,50,73,33
2735,89,44,50,57,56
2736,40,95,27,12,41
2737,12,6,8,59,12
2738,99,61,58,32,30
2739,81,50,88,91,96
2740,98,6,40,54,56
2741,80,34,87,57,69
2742,25,97,74,50,74
2743,18,95,42,100,94
2744,76,66,39,95,96
2745,79,65,32,67,0
2746,6,70,100,17,61
2747,80,33,70,4,10
2748,87,94,95,95,79
2749,65,59,88,70,96
2750,81,33,14,61,97
2751,79,26,68,81,73
2752,40,7,48,99,101
2753,44,29,76,72,11
2754,78,12,93,9,4
2755,54,28,39,4,2
2756,26,60,30,94,76
2757,17,88,49,29,53
2758,59,11,21,0,34
2759,8,50,26,52,93
2760,24,66,30,89,45
2761,47,22,28,33,7
2762,45,61,42,65,89
2763,75,78,56,58,56
2764,76,3,90,45,9
2765,91,51,89,42,87
2766,50,16,77,4,51
2767,16,37,99,68,28
2768,5,30,1,28,76
2769,85,50,49,28,60
2770,41,44,93,75,18
2771,96,53,54,10,27
2772,72,52,5,76,9
2773,18,9,64,36,12
2774,99,8,76,57,52
2775,3,97,35,54,14
2776,80,53,37,33,76
2777,57,27,4,60,84
2778,47,74,28,17,20
2779,84,82,50,69,68
2780,79,42,12,85,99
2781,25,32,65,2,4
2782,14,87,4,94,79
2783,84,58,94,83,93
2784,33,43,76,79,101
2785,21,92,12,74,28
2786,29,30,25,55,78
2787,90,59,54,58,41
2788,81,52,75,20,45
2789,34,70,54,1,77
2790,91,37,78,100,58
2791,23,90,45,5,63
2792,65,53,0,28,14
2793,68,56,47,18,18
2794,63,57,10,13,62
2795,89,12,7,10,35
2796,15,94,38,49,85
2797,96,77,87,93,40
2798,24,88,23,57,8
2799,60,69,28,36,19
2800,30,61,36,64,53
2801,8,94,67,40,12
2802,23,39,97,47,64
2803,80,1,24,23,17
2804,66,75,93,24,80
2805,99,56,5,34,36
2806,12,46,84,64,70
2807,9,82,43,14,46
2808,63,39,13,19,26
2809,92,85,93,80,25
2810,53,69,53,7,98
2811,70,20,58,12,58
2812,54,24,81,59,57
2813,40,9,51,98,17
2814,28,78,75,39,13
2815,90,14,38,68,60
2816,92,42,83,68,96
2817,75,97,3,45,85
2818,49,1,14,20,18
2819,88,81,93,62,33
2820,53,57,58,95,57
2821,18,16,77,28,17
2822,60,30,64,74,84
2823,24,87,31,17,77
2824,84,84,80,55,67
2825,7,17,75,76,10
2826,99,15,89,24,89
2827,88,25,70,0,84
2828,12,36,16,57,79
2829,99,77,43,91,87
2830,10,29,37,98,41
2831,46,57,62,29,2
2832,48,56,25,26,57
2833,5,83,7,44,3
2834,80,97,69,8,35
2835,85,2,43,67,4
2836,0,88,97,73,76
2837,61,84,37,54,80
2838,78,95,69,34,91
2839,85,36,20,38,29
2840,15,35,35,52,72
2841,69,98,17,70,17
2842,27,95,3,52,60
2843,19,78,37,12,32
2844,30,73,13,53,93
2845,16,54,37,52,39
2846,57,40,90,87,85
2847,82,28,3,58,98
2848,89,44,8,53,69
2849,29,7,92,43,15
2850,46,15,40,73,76
2851,31,6,14,1,43
2852,7,51,81,11,15
2853,32,28,41,83,17
2854,6,13,43,86,28
2855,47,81,79,33,26
2856,65,29,64,7,27
2857,4,8,38,42,43
2858,80,45,61,7,41
2859,32,91,30,88,44
2860,97,6,86,5,59
2861,8,43,16,39,58
2862,8,43,49,67,93
2863,93,31,50,49,45
2864,63,93,63,67,7
2865,36,37,15,49,26
2866,66,93,40,101,38
2867,86,36,37,48,46
2868,1,11,67,50,96
2869,90,37,93,17,2
2870,13,33,27,92,7
2871,76,1,67,58,8
2872,30,13,21,21,22
2873,16,40,49,89,95
2874,59,88,66,72,93
2875,60,62,34,29,55
2876,20,61,54,96,64
2877,74,20,87,83,17
2878,86,1,27,1,50
2879,55,43,49,99,74
2880,43,45,34,90,68
2881,75,76,90,72,17
2882,40,96,88,30,68
2883,64,87,77,39,52
2884,43,11,40,87,34
2885,97,32,4,68,55
2886,75,45,26,5,84
2887,81,54,74,18,58
2888,0,91,50,90,73
2889,53,82,86,10,101
2890,37,22,15,10,60
2891,9,55,96,81,10
2892,45,89,59,35,49
2893,9,86,13,14,95
2894,26,37,45,19,44
2895,95,6,12,9,74
2896,99,23,16,59,57
2897,91,80,47,15,52
2898,38,45,5,19,77
2899,26,10,6,28,86
2900,6,12,98,91,48
2901,13,77,55,10,30
2902,87,15,15,8,54
2903,1,33,100,74,57
2904,70,32,18,43,6
2905,92,97,68,100,23
2906,45,74,75,48,21
2907,67,77,13,49,80
2908,49,93,54,71,78
2909,21,93,93,81,92
2910,86,98,52,32,55
2911,51,61,28,87,1
2912,80,65,29,91,42
2913,65,95,18,85,67
2914,26,25,3,20,50
2915,85,55,95,84,64
2916,13,10,69,96,61
2917,1,35,92,70,95
2918,56,90,5,45,81
2919,95,61,65,92,38
2920,9,58,76,55,38
2921,53,21,24,36,86
2922,75,84,47,6,8
2923,30,5,36,81,38
2924,25,42,88,45,97
2925,48,70,23,35,39
2926,56,22,34,71,61
2927,57,16,1,35,2
2928,26,83,88,24,31
2929,33,37,90,99,34
2930,89,95,85,36,12
2931,95,75,49,54,101
2932,4,54,7,5,13
2933,57,14,26,80,17
2934,29,53,50,36,87
2935,16,6,16,89,36
2936,99,44,61,92,44
2937,54,59,42,8,45
2938,58,69,13,48,99
2939,92,32,72,74,7
2940,11,88,92,76,72
2941,76,54,46,70,80
2942,29,61,87,77,59
2943,41,24,31,30,17
2944,35,49,25,90,65
2945,83,99,69,84,32
2946,100,51,37,48,7
2947,76,66,88,64,39
2948,78,30,90,51,1
2949,73,72,94,76,50
2950,10,14,85,17,33
2951,15,14,54,31,65
2952,52,44,4,39,68
2953,15,50,43,74,2
2954,8,8,91,93,62
2955,54,51,92,55,77
2956,10,20,78,54,31
2957,48,83,55,84,54
2958,95,54,54,29,47
2959,51,68,39,95,78
2960,56,3,67,45,48
2961,32,68,79,13,85
2962,77,7,94,21,20
2963,81,64,90,95,22
2964,77,57,77,17,39
2965,75,25,22,57,79
2966,11,26,56,21,71
2967,39,66,29,5,92
2968,19,13,21,1,43
2969,91,74,48,24,24
2970,53,27,30,46,26
2971,39,96,6,46,59
2972,87,73,95,27,87
2973,48,15,80,89,19
2974,101,55,18,30,65
2975,93,75,81,11,88
2976,80,48,10,6,36
2977,37,62,0,25,33
2978,70,23,86,75,7
2979,79,61,52,56,42
2980,91,99,25,55,88
2981,69,33,86,38,73
2982,72,69,58,56,22
2983,38,35,91,80,48
2984,86,4,45,60,90
2985,37,3,3,96,96
2986,81,5,22,0,82
2987,41,5,20,54,101
2988,64,42,61,37,63
2989,32,19,55,14,69
2990,58,41,53,65,79
2991,63,46,5,12,47
2992,56,38,86,20,90
2993,48,16,75,45,62
2994,47,1,32,34,100
2995,86,53,78,39,62
2996,54,69,1,52,70
2997,46,56,40,25,73
2998,19,93,23,45,26
2999,58,85,64,12,83
3000,72,17,65,100,94
3001,75,77,95,6,58
3002,71,33,57,5,87
3003,41,100,60,68,80
3004,3,76,72,58,50
3005,17,9,42,4,71
3006,11,29,82,89,58
3007,6,21,100,19,85
3008,8,73,96,61,29
3009,87,87,80,25,79
3010,23,9,89,23,69
3011,70,37,17,66,19
3012,49,63,10,93,37
3013,92,69,97,53,33
3014,84,19,58,98,4
3015,80,41,13,30,58
3016,15,19,40,72,22
3017,21,84,37,12,5
3018,67,60,66,66,37
3019,7,18,81,66,45
3020,80,82,84,67,76
3021,19,56,69,10,24
3022,11,76,67,84,62
3023,89,40,81,4,14
3024,30,85,42,27,60
3025,97,23,42,24,99
3026,11,68,62,75,94
3027,59,84,75,2,58
3028,91,70,59,58,8
3029,38,84,59,85,91
3030,36,73,85,48,53
3031,11,20,83,56,85
3032,67,79,38,7,58
3033,18,85,45,54,94
3034,69,50,37,14,56
3035,3,77,84,52,87
3036,0,53,5,97,34
3037,1,17,20,60,85
3038,70,69,62,22,94
3039,87,6,67,22,67
3040,2,80,93,46,38
3041,38,43,87,90,48
3042,16,28,69,100,8
3043,41,11,38,96,29
3044,44,11,11,18,48
3045,84,5,32,28,80
3046,97,15,24,84,15
3047,89,1,99,32,40
3048,73,38,80,19,11
3049,26,49,97,75,1
3050,64,61,5,99,70
3051,79,77,21,24,49
3052,47,66,81,59,11
3053,84,41,17,9,58
3054,7,58,9,11,73
3055,46,71,92,8,9
3056,5,6,12,79,65
3057,58,62,85,24,22
3058,13,28,79,24,12
3059,100,40,25,91,50
3060,10,43,18,14,97
3061,44,86,85,94,87
3062,49,7,30,68,17
3063,21,19,93,79,42
3064,43,33,21,3,17
3065,69,28,26,42,41
3066,66,25,22,23,23
3067,21,99,86,55,77
3068,36,54,87,60,22
3069,64,67,18,44,95
3070,34,26,11,78,31
3071,68,1,14,27,89
3072,66,78,8,17,53
3073,88,47,38,50,62
3074,58,21,35,65,91
3075,35,13,80,75,44
3076,40,33,50,95,77
3077,34,5,68,19,4
3078,18,6,14,22,19
3079,4,67,53,17,41
3080,22,11,68,73,87
3081,99,41,37,45,16
3082,21,20,83,12,62
3083,14,52,53,99,93
3084,49,4,90,68,97
3085,14,81,25,60,31
3086,10,84,70,60,25
3087,59,49,20,52,48
3088,65,71,26,26,36
3089,75,63,55,18,35
3090,98,94,18,50,8
3091,34,27,72,80,44
3092,74,53,98,69,24
3093,85,42,65,4,53
3094,82,74,37,5,34
3095,54,22,100,22,45
3096,88,89,97,88,51
3097,99,77,74,27,91
3098,35,42,80,68,6
3099,23,44,40,57,2
3100,39,61,64,58,61
3101,37,100,75,43,74
3102,7,23,9,28,77
3103,86,92,41,34,80
3104,26,83,99,58,71
3105,32,74,51,16,5
3106,84,13,8,75,93
3107,12,13,14,20,94
3108,57,80,68,85,47
3109,85,19,24,75,71
3110,99,85,87,37,77
3111,10,11,35,6,87
3112,32,66,15,44,94
3113,99,85,74,69,72
3114,61,45,36,41,60
3115,96,58,26,44,30
3116,97,6,24,22,85
3117,38,28,13,95,81
3118,34,13,93,53,80
3119,54,55,23,83,99
3120,87,77,67,4,73
3121,4,7,96,2,73
3122,36,95,54,70,2
3123,30,78,33,61,5
3124,35,66,53,60,82
3125,64,98,31,75,24
3126,48,44,90,11,53
3127,14,23,26,94,71
3128,77,52,32,16,89
3129,78,17,55,48,78
3130,76,69,16,79,18
3131,33,83,33,24,85
3132,75,67,77,63,9
3133,89,22,15,24,44
3134,71,62,67,64,27
3135,17,99,75,48,48
3136,87,35,85,3,89
3137,96,44,15,62,96
3138,17,91,67,78,57
3139,23,77,21,34,76
3140,100,57,63,70,36
3141,22,23,92,47,10
3142,64,74,34,35,84
3143,66,35,5,76,48
3144,64,18,59,73,92
3145,42,17,75,3,24
3146,98,66,91,101,100
3147,19,4,40,13,69
3148,39,56,32,52,62
3149,6,0,18,95,46
3150,80,63,38,38,96
3151,10,41,48,73,75
3152,80,36,87,20,82
3153,77,71,33,79,56
3154,1,80,25,45,82
3155,4,71,56,77,29
3156,91,22,45,80,61
3157,1,47,89,47,54
3158,23,62,41,37,81
3159,17,8,28,91,4
3160,28,25,7,81,83
3161,59,45,91,101,35
3162,97,41,51,1,80
3163,13,40,37,86,45
3164,34,87,100,47,75
3165,68,72,66,94,37
3166,56,45,14,61,80
3167,92,44,58,58,99
3168,41,77,88,13,40
3169,36,87,53,23,64
3170,17,1,34,99,40
3171,95,94,12,61,23
3172,55,9,6,22,99
3173,77,68,76,70,65
3174,67,82,23,47,13
3175,38,96,78,69,77
3176,17,28,25,62,91
3177,96,76,3,56,71
3178,91,15,56,26,28
3179,74,59,65,92,34
3180,18,12,53,90,0
3181,32,39,76,21,47
3182,92,71,37,73,76
3183,13,68,31,13,91
3184,94,48,74,1,77
3185,14,1,57,59,73
3186,32,15,1,46,74
3187,49,79,19,27,51
3188,41,19,95,18,19
3189,77,1,54,101,22
3190,32,89,18,88,39
3191,74,94,11,17,38
3192,25,9,78,74,12
3193,83,80,40,67,58
3194,52,95,0,25,98
3195,81,87,70,92,15
3196,82,66,84,88,13
3197,58,47,86,55,40
3198,8,93,20,78,15
3199,16,38,50,80,16
3200,93,85,83,17,29
3201,3,40,32,59,54
3202,48,61,42,32,66
3203,54,100,49,48,73
3204,75,62,72,41,70
3205,77,75,98,75,0
3206,30,63,10,31,84
3207,84,65,9,61,37
3208,96,55,88,5,59
3209,28,89,64,42,48
3210,15,21,64,22,47
3211,100,88,55,83,47
3212,34,1,89,95,52
3213,97,10,29,101,58
3214,14,95,70,24,93
3215,11,75,18,2,67
3216,91,92,73,68,19
3217,53,24,75,81,54
3218,58,64,76,89,77
3219,46,34,38,67,21
3220,85,59,68,27,4
3221,1,0,7,93,64
3222,59,69,93,83,16
3223,85,29,71,56,21
3224,39,3,7,85,69
3225,12,13,77,100,40
3226,15,82,31,69,60
3227,71,69,92,29,69
3228,52,5,28,5,101
3229,36,71,99,73,26
3230,5,40,21,40,89
3231,80,10,29,35,42
3232,71,81,94,74,4
3233,6,25,54,77,54
3234,23,63,44,55,17
3235,29,16,79,29,52
3236,34,85,94,2,31
3237,32,25,12,36,44
3238,90,2,3,38,64
3239,15,34,35,70,58
3240,1,39,79,7,38
3241,59,40,27,75,19
3242,50,19,15,27,93
3243,80,26,60,12,1
3244,37,18,15,97,60
3245,22,44,97,78,94
3246,25,46,99,27,56
3247,74,63,64,35,43
3248,61,25,31,20,95
3249,91,86,64,86,86
3250,7,66,71,58,58
3251,62,87,17,5,41
3252,20,37,36,82,46
3253,29,93,95,3,65
3254,2,15,17,10,88
3255,13,86,101,19,93
3256,12,99,47,58,91
3257,35,13,23,78,50
3258,66,96,11,58,37
3259,100,8,59,73,61
3260,22,92,53,3,43
3261,64,33,44,86,82
3262,39,36,53,68,28
3263,36,54,26,86,29
3264,2,59,5,38,52
3265,36,13,98,76,2
3266,38,61,53,9,79
3267,0,42,35,51,83
3268,96,94,21,21,19
3269,88,47,57,92,100
3270,80,33,30,25,30
3271,88,19,85,63,91
3272,71,33,55,54,83
3273,37,77,99,90,11
3274,87,61,100,68,39
3275,36,52,28,2,73
3276,69,63,19,18,81
3277,84,91,47,45,89
3278,8,66,65,65,71
3279,59,48,97,26,96
3280,34,74,89,41,41
3281,61,40,24,77,1
3282,93,47,70,101,27
3283,30,63,23,12,57
3284,93,73,80,57,91
3285,34,50,3,55,96
3286,83,87,75,35,11
3287,98,55,99,100,0
3288,82,90,69,87,22
3289,37,99,35,34,18
3290,85,101,24,25,98
3291,61,15,39,40,46
3292,74,22,1,83,53
3293,94,22,10,63,28
3294,80,48,22,26,52
3295,29,62,77,51,60
3296,13,92,43,46,64
3297,28,66,8,51,40
3298,86,33,64,44,48
3299,1,67,78,3,7
3300,89,53,26,89,35
3301,28,3,76,55,46
3302,79,50,27,81,53
3303,74,21,50,75,74
3304,73,83,57,42,93
3305,11,95,82,40,95
3306,73,76,32,81,0
3307,55,34,8,3,89
3308,6,3,98,63,88
3309,91,8,97,12,43
3310,37,33,24,18,17
3311,22,101,30,33,39
3312,67,11,64,76,31
3313,21,73,28,83,61
3314,35,94,48,2,95
3315,1,98,68,49,77
3316,93,7,96,30,84
3317,10,43,23,11,62
3318,67,19,47,46,99
3319,91,52,70,76,10
3320,91,98,14,23,19
3321,51,52,73,94,23
3322,20,21,50,29,1
3323,72,9,14,63,38
3324,47,29,10,64,63
3325,1,18,69,99,66
3326,75,5,18,26,79
3327,0,95,5,50,36
3328,63,66,31,14,92
3329,92,66,77,84,94
3330,38,54,62,71,23
3331,14,8,14,29,16
3332,101,33,77,39,96
3333,3,13,74,83,98
3334,87,33,100,85,34
3335,25,45,3,16,31
3336,11,16,85,72,71
3337,84,95,95,37,40
3338,54,30,97,15,44
3339,56,28,39,40,45
3340,54,19,7,21,67
3341,22,79,29,83,23
3342,93,9,84,2,55
3343,46,20,8,99,12
3344,66,83,42,82,77
3345,10,15,79,73,19
3346,79,67,74,13,53
3347,87,75,54,23,97
3348,17,30,90,17,33
3349,30,91,8,22,66
3350,25,53,76,9,4
3351,34,4,84,8,61
3352,30,29,84,67,100
3353,11,33,71,51,10
3354,9,10,81,4,76
3355,19,62,76,93,50
3356,90,55,68,88,39
3357,8,46,72,35,64
3358,6,83,96,10,18
3359,100,75,30,81,11
3360,52,36,80,39,86
3361,28,4,27,63,90
3362,61,22,72,91,30
3363,1,66,61,65,70
3364,20,67,93,64,11
3365,52,89,50,19,46
3366,98,21,80,65,5
3367,79,13,32,52,75
3368,90,71,74,66,74
3369,83,72,49,7,72
3370,6,61,24,31,18
3371,77,12,76,86,9
3372,31,39,12,48,85
3373,10,26,45,36,85
3374,19,90,56,47,28
3375,65,76,47,11,96
3376,4,33,90,22,8
3377,91,52,34,46,36
3378,99,47,86,12,16
3379,93,49,3,29,52
3380,73,20,5,13,49
3381,17,28,62,91,53
3382,86,37,49,23,96
3383,84,27,75,27,41
3384,86,12,64,91,71
3385,14,14,91,61,43
3386,98,67,29,65,81
3387,76,96,8,34,77
3388,11,78,87,88,20
3389,73,45,28,11,49
3390,94,20,77,87,101
3391,99,101,79,58,75
3392,74,17,41,5,74
3393,6,55,40,65,77
3394,85,18,69,95,80
3395,31,35,14,97,51
3396,26,67,34,60,45
3397,9,44,32,68,83
3398,47,19,68,78,34
3399,88,88,35,40,84
3400,21,17,16,60,36
3401,39,23,59,32,26
3402,42,56,63,54,38
3403,51,43,68,1,53
3404,4,21,62,32,29
3405,40,92,89,32,96
3406,56,16,50,27,37
3407,17,81,8,86,52
3408,24,33,83,94,13
3409,57,1,75,69,45
3410,23,71,6,99,85
3411,10,76,95,16,19
3412,20,40,40,28,73
3413,27,92,62,61,96
3414,26,90,29,50,99
3415,86,75,93,91,67
3416,56,47,13,40,30
3417,100,55,72,80,62
3418,82,98,61,69,70
3419,20,58,24,96,83
3420,94,66,90,17,56
3421,33,65,65,11,6
3422,35,12,64,100,72
3423,48,21,93,89,48
3424,9,47,11,24,44
3425,10,48,14,58,34
3426,38,89,15,61,15
3427,83,52,14,40,57
3428,44,13,44,6,96
3429,56,74,15,97,69
3430,32,81,37,76,67
3431,64,53,46,40,63
